x_mm y_mm z_mm
-102.094915 20.107239 -55.512638
-102.137607 -34.881683 -61.772687
-102.134907 34.890278 -61.603018
-102.084688 7.686397 -53.328367
-102.128865 -15.390533 -54.394549
-102.028378 15.400107 -54.386745
-102.036559 -12.250329 -53.755098
-102.066146 12.282949 -53.695776
-101.953496 -18.520959 -54.919125
-101.892499 18.488794 -55.143059
-101.940639 -36.513338 -62.419429
-101.941614 36.568542 -62.402299
-101.918657 9.165947 -53.524488
-101.923111 -28.133444 -57.771156
-101.955918 -26.501692 -57.578840
-101.944875 -0.034717 -52.956736
-101.874145 1.490356 -52.986105
-101.931020 -29.770002 -58.972303
-101.903259 -24.851585 -57.047948
-101.952434 3.043996 -52.742069
-101.891076 -31.416471 -59.784030
-101.928875 -23.219400 -56.370642
-101.888173 23.293275 -56.488314
-101.877195 -13.782750 -53.625052
-101.855773 13.800196 -54.152988
-101.835217 4.570049 -52.752383
-101.812109 16.905491 -54.675901
-101.823779 10.713914 -53.407090
-101.769326 33.042167 -60.598338
-101.784537 6.105552 -52.496239
-101.731426 -34.715885 -60.999912
-101.663950 34.761670 -61.021340
-101.706431 20.104838 -55.123682
-101.611643 7.653825 -52.552789
-101.700378 -15.344561 -53.788156
-101.650745 -12.185773 -53.415983
-101.587633 -36.411835 -61.620050
-101.587014 36.385648 -61.852804
-101.532658 -18.435993 -54.572653
-101.544344 18.521803 -54.866111
-101.515997 -28.034913 -57.516500
-101.538089 28.023722 -57.965321
-101.520884 -26.372213 -57.290614
-101.496827 -9.077670 -52.495820
-101.495950 9.153798 -52.966196
-101.558182 -29.662257 -58.153873
-101.577004 29.648676 -58.263337
-101.475740 0.030417 -51.624363
-101.464447 -24.728513 -56.159461
-101.530698 24.789391 -56.419550
-101.491462 1.502927 -51.694838
-101.406505 31.346867 -59.218968
-101.444872 -3.011369 -51.729095
-101.471513 3.028327 -51.893852
-101.444858 23.095868 -55.281855
-101.437851 -13.703383 -53.534878
-101.342119 -4.518382 -51.862876
-101.350027 4.559175 -51.943272
-101.372238 16.839672 -54.224508
-101.352997 41.557821 -64.735666
-101.362628 32.899423 -59.493641
-101.353009 -10.614379 -52.369526
-101.418302 -21.553172 -54.902721
-101.340795 -6.081496 -51.803402
-101.230736 34.563685 -60.566850
-101.221599 7.624434 -52.151897
-101.205905 -15.256563 -53.473003
-101.240466 -12.203029 -52.396607
-101.202922 12.190005 -52.506664
-101.156003 -36.175879 -60.948211
-101.099684 36.275632 -60.783070
-101.120743 -18.338906 -53.742577
-101.155527 27.876340 -57.307494
-101.139426 -29.557848 -57.429663
-101.086580 29.515555 -57.850704
-101.085421 -9.130474 -52.202854
-101.091158 -24.690555 -55.878840
-101.038995 -1.533091 -51.296448
-101.068603 1.506019 -51.417357
-101.079942 -31.220650 -58.347271
-101.087102 31.144753 -58.408748
-101.024462 3.044327 -51.388122
-100.992520 -23.059307 -54.927724
-100.998141 23.014393 -55.193027
-101.011974 -13.713815 -52.262858
-101.045333 13.674850 -52.728699
-101.007265 -37.893391 -61.675187
-101.003562 -41.375825 -64.192904
-101.014837 41.387852 -64.014417
-100.973317 -32.784625 -58.908188
-100.996023 32.823375 -59.202558
-100.969955 4.535324 -51.649465
-100.984514 -16.783342 -53.414438
-100.983915 10.615943 -52.014337
-100.963801 -21.443222 -54.319123
-100.935021 -6.032368 -51.459656
-100.936546 -34.524187 -59.344962
-100.841427 -19.820167 -53.767598
-100.786560 -7.501627 -51.711078
-100.825855 -15.177197 -53.238220
-100.802300 -12.125236 -52.075535
-100.806543 12.156932 -52.001385
-100.767310 -43.092418 -64.853454
-100.698673 -36.139988 -60.524353
-100.763873 36.122747 -60.493344
-100.657711 -18.231119 -53.401509
-100.703197 -26.202040 -55.972092
-100.696165 26.158997 -55.366869
-100.668709 29.398911 -57.339237
-100.696093 -24.588773 -54.864177
-100.645805 24.580477 -55.166732
-100.685013 -9.054720 -51.346024
-100.688851 9.032349 -51.633453
-100.629113 -0.029805 -50.676689
-100.647817 -30.991816 -57.763406
-100.640393 31.072345 -58.010800
-100.644687 -1.477844 -50.858287
-100.635010 1.504756 -50.540436
-100.604329 -23.000399 -54.020378
-100.591323 -3.029547 -50.850938
-100.597545 -37.763976 -61.370259
-100.627405 13.592479 -52.248922
-100.589189 -32.641826 -58.359887
-100.594527 32.665686 -58.423795
-100.556414 -4.495644 -50.976616
-100.546650 4.544952 -50.672311
-100.532045 -21.383266 -53.706379
-100.590693 21.374180 -53.899575
-100.586106 -10.595562 -51.391437
-100.527718 10.577619 -51.485486
-100.479615 -34.290052 -58.884786
-100.447780 -6.011596 -50.768401
-100.509542 6.040143 -50.655204
-100.460810 -19.745013 -53.216023
-100.387855 -7.517089 -50.971101
-100.449966 7.490973 -50.684055
-100.397047 15.141862 -52.080590
-100.383721 -42.904644 -64.189529
-100.379241 42.922177 -64.048123
-100.356884 -12.088423 -50.963992
-100.367393 12.087835 -51.461424
-100.284389 26.073969 -54.963432
-100.269036 24.471011 -54.183818
-100.289468 -9.041682 -50.948347
-100.249060 8.995836 -50.700545
-100.275195 -30.919240 -57.078310
-100.219749 -0.052215 -50.364396
-100.239109 1.481789 -50.586833
-100.181906 -41.074681 -62.803389
-100.159927 -22.892030 -53.574827
-100.161532 -37.545408 -60.225982
-100.258859 37.607545 -60.390038
-100.196337 -2.987733 -50.180695
